op,cliente,empresa,status,data_prevista
30001,solutions,yamaha,producao,04/01/2022
30002,pce,cx.biscoito,entregue,11/01/2022
30003,hevi,armor,avaliacao,20/01/2022
30004,ctk,philips,novo,02/02/2022
30005,solutions,flextronics,em rota,12/02/2022
30006,pce,samsung,producao,18/02/2022
30007,hevi,3m,entregue,28/02/2022
30008,ctk,lg,producao,05/03/2022
30009,solutions,sagemcom,avaliacao,14/03/2022
30010,pce,yoki,em rota,22/03/2022
30011,hevi,ceras johnson,novo,01/04/2022
30012,ctk,multilaser,producao,10/04/2022
30013,hevi,semp,entregue,21/04/2022
30014,pce,cx.papel,avaliacao,02/05/2022
30015,solutions,yamaha,novo,15/05/2022
30016,ctk,philips,em rota,27/05/2022
30017,hevi,cx.papel,producao,08/06/2022
30018,pce,samsung,entregue,19/06/2022
30019,solutions,flextronics,producao,01/07/2022
30020,ctk,lg,novo,12/07/2022
30021,hevi,armor,em rota,25/07/2022
30022,pce,cx.biscoito,producao,04/08/2022
30023,solutions,sagemcom,entregue,18/08/2022
30024,ctk,multilaser,avaliacao,30/08/2022
30025,hevi,3m,producao,10/09/2022
30026,pce,yoki,novo,22/09/2022
30027,solutions,yamaha,em rota,05/10/2022
30028,ctk,philips,entregue,17/10/2022
30029,hevi,ceras johnson,producao,29/10/2022
30030,pce,samsung,avaliacao,08/11/2022
30031,solutions,flextronics,novo,20/11/2022
30032,ctk,lg,producao,02/12/2022
30033,hevi,semp,em rota,15/12/2022
30034,pce,cx.biscoito,entregue,28/12/2022
30035,solutions,sagemcom,producao,09/01/2023
30036,ctk,multilaser,avaliacao,21/01/2023
30037,hevi,armor,novo,02/02/2023
30038,pce,yoki,producao,14/02/2023
30039,solutions,yamaha,em rota,26/02/2023
30040,ctk,philips,entregue,09/03/2023
30041,hevi,cx.papel,producao,21/03/2023
30042,pce,samsung,novo,02/04/2023
30043,solutions,flextronics,avaliacao,15/04/2023
30044,ctk,lg,em rota,27/04/2023
30045,hevi,3m,entregue,09/05/2023
30046,pce,cx.papel,producao,21/05/2023
30047,solutions,sagemcom,novo,02/06/2023
30048,ctk,multilaser,producao,15/06/2023
30049,hevi,ceras johnson,em rota,27/06/2023
30050,pce,cx.biscoito,entregue,09/07/2023
30051,solutions,yamaha,avaliacao,22/07/2023
30052,ctk,philips,novo,03/08/2023
30053,hevi,armor,producao,16/08/2023
30054,pce,yoki,em rota,28/08/2023
30055,solutions,flextronics,entregue,09/09/2023
30056,ctk,lg,producao,21/09/2023
30057,hevi,semp,novo,04/10/2023
30058,pce,samsung,avaliacao,16/10/2023
30059,solutions,sagemcom,em rota,28/10/2023
30060,ctk,multilaser,entregue,10/11/2023
30061,hevi,3m,producao,22/11/2023
30062,pce,cx.papel,novo,04/12/2023
30063,solutions,yamaha,producao,16/12/2023
30064,ctk,philips,em rota,28/12/2023
30065,hevi,cx.papel,entregue,09/01/2024
30066,pce,cx.biscoito,avaliacao,21/01/2024
30067,solutions,flextronics,novo,02/02/2024
30068,ctk,lg,producao,14/02/2024
30069,hevi,ceras johnson,em rota,26/02/2024
30070,pce,yoki,entregue,09/03/2024
30071,solutions,sagemcom,producao,21/03/2024
30072,ctk,multilaser,novo,02/04/2024
30073,hevi,armor,avaliacao,15/04/2024
30074,pce,samsung,em rota,27/04/2024
30075,solutions,yamaha,entregue,09/05/2024
30076,ctk,philips,producao,21/05/2024
30077,hevi,semp,novo,02/06/2024
30078,pce,cx.papel,producao,15/06/2024
30079,solutions,flextronics,em rota,27/06/2024
30080,ctk,lg,entregue,09/07/2024
30081,hevi,3m,avaliacao,22/07/2024
30082,pce,cx.biscoito,novo,03/08/2024
30083,solutions,sagemcom,producao,16/08/2024
30084,ctk,multilaser,em rota,28/08/2024
30085,hevi,cx.papel,entregue,09/09/2024
30086,pce,yoki,producao,21/09/2024
30087,solutions,yamaha,novo,04/10/2024
30088,ctk,philips,avaliacao,16/10/2024
30089,hevi,ceras johnson,em rota,28/10/2024
30090,pce,samsung,entregue,10/11/2024
30091,solutions,flextronics,producao,22/11/2024
30092,ctk,lg,novo,04/12/2024
30093,hevi,armor,producao,16/12/2024
30094,pce,cx.papel,em rota,28/12/2024
30095,solutions,sagemcom,entregue,09/01/2025
30096,ctk,multilaser,avaliacao,21/01/2025
30097,hevi,semp,novo,02/02/2025
30098,pce,cx.biscoito,producao,14/02/2025
30099,solutions,yamaha,em rota,26/02/2025
30100,ctk,philips,entregue,09/03/2025
30101,hevi,3m,producao,21/03/2025
30102,pce,samsung,novo,02/04/2025
30103,solutions,flextronics,em rota,15/04/2025
30104,ctk,lg,entregue,27/04/2025
30105,hevi,ceras johnson,avaliacao,09/05/2025
30106,pce,yoki,producao,21/05/2025
30107,solutions,sagemcom,novo,02/06/2025
30108,ctk,multilaser,em rota,15/06/2025
30109,hevi,armor,entregue,27/06/2025
30110,pce,cx.papel,producao,09/07/2025
30111,solutions,yamaha,avaliacao,22/07/2025
30112,ctk,philips,novo,03/08/2025
30113,hevi,semp,producao,16/08/2025
30114,pce,cx.biscoito,em rota,28/08/2025
30115,solutions,flextronics,entregue,09/09/2025
30116,ctk,lg,producao,21/09/2025
30117,hevi,3m,novo,04/10/2025
30118,pce,samsung,avaliacao,16/10/2025
